date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:17	115681/115681	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1c3e1%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-05.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-05.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:22	120508/120508	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1d6bc%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-07.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-07.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:23	134286/134286	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-20c8e%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-08.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-08.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:24	125418/125418	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1e9ea%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-09.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-09.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:25	56736/56736	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-dda0%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-06.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-06.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:25	163492/163492	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-27ea4%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-06.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-06.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:26	75038/75038	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1251e%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-05.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-05.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:27	53469/53469	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-d0dd%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:28	62731/62731	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-f50b%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-03.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-03.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:29	46095/46095	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-b40f%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/about-us-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/about-us-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:30	37708/37708	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-934c%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/about-us-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/about-us-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:31	68616/68616	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-10c08%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:32	91587/91587	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-165c3%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:33	56736/56736	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-dda0%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-03.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-03.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:34	79699/79699	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-13753%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-04.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-04.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:35	78909/78909	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1343d%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-05.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-05.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:36	67808/67808	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-108e0%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-06.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-06.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:37	69496/69496	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-10f78%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-07.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-07.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
